"ID","Description","Published","Solved By","Solve Status"
147,"Rectangles in Cross-hatched Grids",1175317200,3170,0
148,"Exploring Pascal's Triangle",1175907600,5362,0
149,"Maximum-sum Subsequence",1176498000,5042,0
150,"Sub-triangle Sums",1176498000,4124,0
151,"A Preference for A5",1177088400,5756,0
152,"Sums of Square Reciprocals",1177678800,2812,0
153,"Investigating Gaussian Integers",1178355600,2733,0
154,"Exploring Pascal's Pyramid",1178946000,2748,0
155,"Counting Capacitor Circuits",1179536400,3746,0
156,"Counting Digits",1180126800,2535,0
157,"Base-10 Diophantine Reciprocal",1180717200,2841,0
158,"Lexicographical Neighbours",1181912400,3775,0
159,"Digital Root Sums of Factorisations",1183208400,3429,0
160,"Factorial Trailing Digits",1189170000,3645,0
161,"Triominoes",1190394000,2227,0
162,"Hexadecimal Numbers",1191618000,5549,0
163,"Cross-hatched Triangles",1192237200,1902,0
164,"Three Consecutive Digital Sum Limit",1192856400,5964,0
165,"Intersections",1193475600,2714,0
166,"Criss Cross",1194094800,4272,0
167,"Investigating Ulam Sequences",1194613200,1767,0
168,"Number Rotations",1195232400,2767,0
169,"Sums of Powers of Two",1195851600,5249,0
170,"Pandigital Concatenating Products",1196470800,2078,0
171,"Square Sum of the Digital Squares",1197090000,2901,0
172,"Few Repeated Digits",1197709200,3925,0
173,"Hollow Square Laminae I",1198328400,9372,0
174,"Hollow Square Laminae II",1198328400,6049,0
175,"Fractions and Sum of Powers of Two",1198846800,1862,0
176,"Common Cathetus Right-angled Triangles",1199466000,1973,0
177,"Integer Angled Quadrilaterals",1200085200,1338,0
178,"Step Numbers",1200704400,3540,0
179,"Consecutive Positive Divisors",1201323600,11603,0
180,"Golden Triplets",1201942800,1641,0
181,"Grouping Two Different Coloured Objects",1202562000,2076,0
182,"RSA Encryption",1203080400,2692,0
183,"Maximum Product of Parts",1203699600,4833,0
184,"Triangles Containing the Origin",1204318800,1715,0
185,"Number Mind",1204938000,3237,0
186,"Connectedness of a Network",1205557200,2973,0
187,"Semiprimes",1206176400,11514,0
188,"Hyperexponentiation",1207314000,6569,0
189,"Tri-colouring a Triangular Grid",1207929600,2134,0
190,"Maximising a Weighted Product",1208552400,4290,0
191,"Prize Strings",1209168000,7307,0
192,"Best Approximations",1209787200,1698,0
193,"Squarefree Numbers",1210420800,3485,0
194,"Coloured Configurations",1211014800,1464,0
195,"$60$-degree Triangle Inscribed Circles",1211547600,1449,0
196,"Prime Triplets",1212166800,2679,0
197,"A Recursively Defined Sequence",1212786000,5055,0
198,"Ambiguous Numbers",1213405200,1170,0
199,"Iterative Circle Packing",1214024400,2033,0
200,"Prime-proof Squbes",1214643600,2466,0
201,"Subsets with a Unique Sum",1215262800,2393,0
202,"Laserbeam",1215262800,2644,0
203,"Squarefree Binomial Coefficients",1220706000,9417,0
204,"Generalised Hamming Numbers",1220706000,7560,0
205,"Dice Game",1220706000,15353,0
206,"Concealed Square",1220706000,25193,0
207,"Integer Partition Equations",1220706000,4842,0
208,"Robot Walks",1221224400,1816,0
209,"Circular Logic",1221843600,2591,0
210,"Obtuse Angled Triangles",1222462800,1773,0
211,"Divisor Square Sum",1223082000,4321,0
212,"Combined Volume of Cuboids",1223701200,1434,0
213,"Flea Circus",1224320400,2408,0
214,"Totient Chains",1224939600,5374,0
215,"Crack-free Walls",1225458000,3797,0
216,"The Primality of $2n^2 - 1$",1226077200,4203,0
217,"Balanced Numbers",1226696400,1565,0
218,"Perfect Right-angled Triangles",1227315600,3121,0
219,"Skew-cost Coding",1227934800,1516,0
220,"Heighway Dragon",1228554000,2244,0
221,"Alexandrian Integers",1229173200,2154,0
222,"Sphere Packing",1229691600,2149,0
223,"Almost Right-angled Triangles I",1230310800,1586,0
224,"Almost Right-angled Triangles II",1230310800,1278,0
225,"Tribonacci Non-divisors",1230310800,4587,0
226,"A Scoop of Blancmange",1230930000,1798,0
227,"The Chase",1231549200,2180,0
228,"Minkowski Sums",1232168400,1371,0
229,"Four Representations Using Squares",1232787600,1515,0
230,"Fibonacci Words",1233406800,2973,0
231,"Prime Factorisation of Binomial Coefficients",1233925200,5601,0
232,"The Race",1234544400,1837,0
233,"Lattice Points on a Circle",1235163600,2407,0
234,"Semidivisible Numbers",1235782800,3353,0
235,"An Arithmetic Geometric Sequence",1236402000,5129,0
236,"Luxury Hampers",1237021200,969,0
237,"Tours on a $4 \times N$ Playing Board",1237640400,1618,0
238,"Infinite String Tour",1238335200,998,0
239,"Twenty-two Foolish Primes",1238774400,1881,0
240,"Top Dice",1239397200,2249,0
241,"Perfection Quotients",1240016400,963,0
242,"Odd Triplets",1240635600,1079,0
243,"Resilience",1241254800,9835,0
244,"Sliders",1241874000,1361,0
245,"Coresilience",1242392400,847,0
246,"Tangents to an Ellipse",1243008000,826,0
247,"Squares Under a Hyperbola",1243627200,1519,0
248,"Euler's Totient Function Equals 13!",1244246400,1339,0
249,"Prime Subset Sums",1244865600,2612,0
250,"$250250$",1244865600,3074,0
251,"Cardano Triplets",1245484800,1435,0
252,"Convex Holes",1246104000,863,0
253,"Tidying Up A",1251460800,1055,0
254,"Sums of Digit Factorials",1252080000,998,0
255,"Rounded Square Roots",1252699200,891,0
256,"Tatami-Free Rooms",1253318400,753,0
257,"Angular Bisectors",1253937600,711,0
258,"A Lagged Fibonacci Sequence",1254556800,1651,0
259,"Reachable Numbers",1255176000,1553,0
260,"Stone Game",1255694400,1354,0
261,"Pivotal Square Sums",1256313600,715,0
262,"Mountain Range",1256936400,745,0
263,"An Engineers' Dream Come True",1257555600,1074,0
264,"Triangle Centres",1258174800,587,0
265,"Binary Circles",1258794000,4323,0
266,"Pseudo Square Root",1259413200,1755,0
267,"Billionaire",1259931600,3519,0
268,"At Least Four Distinct Prime Factors Less Than 100",1260550800,1499,0
269,"Polynomials with at Least One Integer Root",1261213200,722,0
270,"Cutting Squares",1261789200,659,0
271,"Modular Cubes, Part 1",1262408400,2451,0
272,"Modular Cubes, Part 2",1262408400,1010,0
273,"Sum of Squares",1263042000,1421,0
274,"Divisibility Multipliers",1263560400,1445,0
275,"Balanced Sculptures",1264179600,631,0
276,"Primitive Triangles",1264798800,1126,0
277,"A Modified Collatz Sequence",1265418000,3331,0
278,"Linear Combinations of Semiprimes",1266037200,1079,0
279,"Triangles with Integral Sides and an Integral Angle ",1266656400,770,0
280,"Ant and Seeds",1267275600,1081,0
281,"Pizza Toppings",1267794000,1009,0
282,"The Ackermann Function",1268413200,1053,0
283,"Integer Sided Triangles with Integral Area/perimeter Ratio",1269032400,659,0
284,"Steady Squares",1269651600,1296,0
285,"Pythagorean Odds",1270267200,1260,0
286,"Scoring Probabilities",1270267200,2207,0
287,"Quadtree Encoding (a Simple Compression Algorithm)",1270886400,1486,0
288,"An Enormous Factorial",1271505600,1701,0
289,"Eulerian Cycles",1272024000,517,0
290,"Digital Signature",1272643200,1014,0
291,"Panaitopol Primes",1273262400,1497,0
292,"Pythagorean Polygons",1273881600,591,0
293,"Pseudo-Fortunate Numbers",1274500800,3066,0
294,"Sum of Digits - Experience #23",1275120000,953,0
295,"Lenticular Holes",1275739200,472,0
296,"Angular Bisector and Tangent",1276257600,607,0
297,"Zeckendorf Representation",1276876800,2855,0
298,"Selective Amnesia",1277496000,693,0
299,"Three Similar Triangles",1278115200,645,0
300,"Protein Folding",1283601600,1144,0
301,"Nim",1284217200,6697,0
302,"Strong Achilles Numbers",1284832800,767,0
303,"Multiples with Small Digits",1285448400,3737,0
304,"Primonacci",1286064000,2251,0
305,"Reflexive Position",1286679600,627,0
306,"Paper-strip Game",1287295200,1249,0
307,"Chip Defects",1287910800,1714,0
308,"An Amazing Prime-generating Automaton",1288440000,789,0
309,"Integer Ladders",1289059200,848,0
310,"Nim Square",1289674800,1188,0
311,"Biclinic Integral Quadrilaterals",1290290400,447,0
312,"Cyclic Paths on Sierpiński Graphs",1290906000,868,0
313,"Sliding Game",1291521600,1664,0
314,"The Mouse on the Moon",1292137200,527,0
315,"Digital Root Clocks",1292752800,3510,0
316,"Numbers in Decimal Expansions",1293282000,688,0
317,"Firecracker",1293897600,2760,0
318,"2011 Nines",1293897600,972,0
319,"Bounded Sequences",1294513200,413,0
320,"Factorials Divisible by a Huge Integer",1295128800,898,0
321,"Swapping Counters",1295744400,1786,0
322,"Binomial Coefficients Divisible by 10",1296360000,479,0
323,"Bitwise-OR Operations on Random Integers",1296975600,4008,0
324,"Building a Tower",1297591200,731,0
325,"Stone Game II",1298120400,619,0
326,"Modulo Summations",1298736000,542,0
327,"Rooms of Doom",1299351600,1162,0
328,"Lowest-cost Search",1299967200,443,0
329,"Prime Frog",1300582800,2591,0
330,"Euler's Number",1301198400,547,0
331,"Cross Flips",1301814000,422,0
332,"Spherical Triangles",1302426000,633,0
333,"Special Partitions",1302955200,1280,0
334,"Spilling the Beans",1303570800,492,0
335,"Gathering the Beans",1303570800,531,0
336,"Maximix Arrangements",1304186400,2132,0
337,"Totient Stairstep Sequences",1304802000,533,0
338,"Cutting Rectangular Grid Paper",1305417600,338,0
339,"Peredur Fab Efrawg",1306033200,580,0
340,"Crazy Function",1306648800,1145,0
341,"Golomb's Self-describing Sequence",1307264400,958,0
342,"The Totient of a Square Is a Cube",1307793600,822,0
343,"Fractional Sequences",1308409200,1448,0
344,"Silver Dollar Game",1309024800,332,0
345,"Matrix Sum",1315062000,5869,0
346,"Strong Repunits",1315062000,4458,0
347,"Largest Integer Divisible by Two Primes",1315062000,4724,0
348,"Sum of a Square and a Cube",1315062000,3144,0
349,"Langton's Ant",1315062000,1987,0
350,"Constraining the Least Greatest and the Greatest Least",1315677600,480,0
351,"Hexagonal Orchards",1316293200,2648,0
352,"Blood Tests",1317513600,630,0
353,"Risky Moon",1318129200,500,0
354,"Distances in a Bee's Honeycomb ",1318744800,460,0
355,"Maximal Coprime Subset",1319360400,550,0
356,"Largest Roots of Cubic Polynomials",1319889600,614,0
357,"Prime Generating Integers",1320508800,8404,0
358,"Cyclic Numbers",1321124400,1676,0
359,"Hilbert's New Hotel",1321740000,1577,0
360,"Scary Sphere",1322355600,603,0
361,"Subsequence of Thue-Morse Sequence",1322971200,314,0
362,"Squarefree Factors",1323586800,484,0
363,"Bézier Curves",1324202400,1152,0
364,"Comfortable Distance",1324731600,727,0
365,"A Huge Binomial Coefficient",1325347200,1311,0
366,"Stone Game III",1325962800,700,0
367,"Bozo Sort",1326578400,534,0
368,"A Kempner-like Series",1327194000,569,0
369,"Badugi",1327809600,479,0
370,"Geometric Triangles",1328425200,541,0
371,"Licence Plates",1329040800,1678,0
372,"Pencils of Rays",1329570000,413,0
373,"Circumscribed Circles",1330185600,351,0
374,"Maximum Integer Partition Product",1330801200,704,0
375,"Minimum of Subsequences",1331416800,914,0
376,"Nontransitive Sets of Dice",1332032400,288,0
377,"Sum of Digits - Experience #13",1332648000,742,0
378,"Triangle Triples",1333260000,894,0
379,"Least Common Multiple Count",1333879200,529,0
380,"Amazing Mazes!",1334408400,527,0
381,"$(\text{prime}-k)$ Factorial",1335024000,4378,0
382,"Generating Polygons",1335639600,345,0
383,"Divisibility Comparison Between Factorials",1336255200,491,0
384,"Rudin-Shapiro Sequence",1336870800,338,0
385,"Ellipses Inside Triangles",1337486400,288,0
386,"Maximum Length of an Antichain",1338102000,749,0
387,"Harshad Numbers",1338717600,4836,0
388,"Distinct Lines",1339246800,598,0
389,"Platonic Dice",1339862400,1577,0
390,"Triangles with Non Rational Sides and Integral Area",1340478000,583,0
391,"Hopping Game",1341093600,279,0
392,"Enmeshed Unit Circle",1346504400,807,0
393,"Migrating Ants",1347120000,795,0
394,"Eating Pie",1347735600,548,0
395,"Pythagorean Tree",1348351200,712,0
396,"Weak Goodstein Sequence",1348966800,680,0
397,"Triangle on Parabola",1349582400,274,0
398,"Cutting Rope",1350198000,389,0
399,"Squarefree Fibonacci Numbers",1350813600,584,0
400,"Fibonacci Tree Game",1351342800,481,0
401,"Sum of Squares of Divisors",1352563200,2651,0
402,"Integer-valued Polynomials",1353178800,419,0
403,"Lattice Points Enclosed by Parabola and Line",1353794400,363,0
404,"Crisscross Ellipses",1354410000,328,0
405,"A Rectangular Tiling",1355025600,629,0
406,"Guessing Game",1355641200,380,0
407,"Idempotents",1356256800,2517,0
408,"Admissible Paths Through a Grid",1356786000,584,0
409,"Nim Extreme",1357401600,460,0
410,"Circle and Tangent Line",1358017200,283,0
411,"Uphill Paths",1358632800,670,0
412,"Gnomon Numbering",1359248400,508,0
413,"One-child Numbers",1359864000,394,0
414,"Kaprekar Constant",1360479600,287,0
415,"Titanic Sets",1361095200,323,0
416,"A Frog's Trip",1361624400,297,0
417,"Reciprocal Cycles II",1362240000,895,0
418,"Factorisation Triples",1362855600,704,0
419,"Look and Say Sequence",1363471200,502,0
420,"$2 \times 2$ Positive Integer Matrix",1364086800,448,0
421,"Prime Factors of $n^{15}+1$",1364698800,668,0
422,"Sequence of Points on a Hyperbola",1365314400,282,0
423,"Consecutive Die Throws",1365930000,502,0
424,"Kakuro",1366459200,422,0
425,"Prime Connection",1367074800,1512,0
426,"Box-Ball System",1367690400,258,0
427,"$n$-sequences",1368306000,310,0
428,"Necklace of Circles",1368921600,249,0
429,"Sum of Squares of Unitary Divisors",1369537200,2609,0
430,"Range Flips",1370152800,877,0
431,"Square Space Silo",1370768400,638,0
432,"Totient Sum",1371297600,501,0
433,"Steps in Euclid's Algorithm",1371913200,478,0
434,"Rigid Graphs",1372528800,341,0
435,"Polynomials of Fibonacci Numbers",1378566000,1149,0
436,"Unfair Wager",1379181600,468,0
437,"Fibonacci Primitive Roots",1379797200,812,0
438,"Integer Part of Polynomial Equation's Solutions",1380412800,280,0
439,"Sum of Sum of Divisors",1381028400,397,0
440,"GCD and Tiling",1381644000,383,0
441,"The Inverse Summation of Coprime Couples",1382259600,362,0
442,"Eleven-free Integers",1382788800,401,0
443,"GCD Sequence",1383408000,1162,0
444,"The Roundtable Lottery",1384023600,312,0
445,"Retractions A",1384639200,388,0
446,"Retractions B",1384639200,370,0
447,"Retractions C",1384639200,304,0
448,"Average Least Common Multiple",1385254800,354,0
449,"Chocolate Covered Candy",1386475200,930,0
450,"Hypocycloid and Lattice Points",1387090800,197,0
451,"Modular Inverses",1387706400,1467,0
452,"Long Products",1388235600,591,0
453,"Lattice Quadrilaterals",1388851200,218,0
454,"Diophantine Reciprocals III",1389466800,481,0
455,"Powers with Trailing Digits",1390082400,735,0
456,"Triangles Containing the Origin II",1390698000,407,0
457,"A Polynomial Modulo the Square of a Prime",1391313600,814,0
458,"Permutations of Project",1391929200,951,0
459,"Flipping Game",1392544800,237,0
460,"An Ant on the Move",1393074000,328,0
461,"Almost Pi",1393689600,1240,0
462,"Permutation of 3-smooth Numbers",1394305200,327,0
463,"A Weird Recurrence Relation",1394920800,1118,0
464,"Möbius Function and Intervals",1395536400,329,0
465,"Polar Polygons",1396152000,220,0
466,"Distinct Terms in a Multiplication Table",1396764000,322,0
467,"Superinteger",1397379600,445,0
468,"Smooth Divisors of Binomial Coefficients",1397908800,275,0
469,"Empty Chairs",1398524400,770,0
470,"Super Ramvok",1399140000,232,0
471,"Triangle Inscribed in Ellipse",1399755600,222,0
472,"Comfortable Distance II",1400371200,261,0
473,"Phigital Number Base",1400986800,750,0
474,"Last Digits of Divisors",1401602400,427,0
475,"Music Festival",1402218000,455,0
476,"Circle Packing II",1402747200,425,0
477,"Number Sequence Game",1408806000,268,0
478,"Mixtures",1409421600,192,0
479,"Roots on the Rise",1410037200,1320,0
480,"The Last Question",1410652800,588,0
481,"Chef Showdown",1411268400,247,0
482,"The Incenter of a Triangle",1411884000,218,0
483,"Repeated Permutation",1412499600,232,0
484,"Arithmetic Derivative",1413028800,374,0
485,"Maximum Number of Divisors",1413644400,1186,0
486,"Palindrome-containing Strings",1414260000,265,0
487,"Sums of Power Sums",1414879200,660,0
488,"Unbalanced Nim",1415494800,242,0
489,"Common Factors Between Two Sequences",1416110400,247,0
490,"Jumping Frog",1416726000,304,0
491,"Double Pandigital Number Divisible by $11$",1417341600,2214,0
492,"Exploding Sequence",1417870800,362,0
493,"Under the Rainbow",1418486400,5476,0
494,"Collatz Prefix Families",1419102000,220,0
495,"Writing $n$ as the Product of $k$ Distinct Positive Integers",1419717600,295,0
496,"Incenter and Circumcenter of Triangle",1420333200,312,0
497,"Drunken Tower of Hanoi",1420948800,554,0
498,"Remainder of Polynomial Division",1421564400,527,0
499,"St. Petersburg Lottery",1422180000,339,0
500,"Problem 500!!!",1422709200,4135,0
501,"Eight Divisors",1422709200,1386,0
502,"Counting Castles",1423324800,296,0
503,"Compromise or Persist",1423940400,325,0
504,"Square on the Inside",1424556000,3148,0
505,"Bidirectional Recurrence",1425171600,212,0
506,"Clock Sequence",1425787200,893,0
507,"Shortest Lattice Vector",1426402800,221,0
508,"Integers in Base $i-1$",1427018400,237,0
509,"Divisor Nim",1427547600,581,0
510,"Tangent Circles",1428159600,1042,0
511,"Sequences with Nice Divisibility Properties",1428775200,424,0
512,"Sums of Totients of Powers",1429390800,1541,0
513,"Integral Median",1430006400,311,0
514,"Geoboard Shapes",1430622000,215,0
515,"Dissonant Numbers",1431237600,470,0
516,"$5$-smooth Totients",1431853200,1599,0
517,"A Real Recursion",1432382400,467,0
518,"Prime Triples and Geometric Sequences",1432998000,1648,0
519,"Tricoloured Coin Fountains",1433613600,348,0
520,"Simbers",1434229200,413,0
521,"Smallest Prime Factor",1434844800,758,0
522,"Hilbert's Blackout",1435460400,269,0
523,"First Sort I",1441519200,1009,0
524,"First Sort II",1441519200,223,0
525,"Rolling Ellipse",1442134800,515,0
526,"Largest Prime Factors of Consecutive Numbers",1442664000,314,0
527,"Randomized Binary Search",1443279600,753,0
528,"Constrained Sums",1443895200,279,0
529,"$10$-substrings",1444510800,251,0
530,"GCD of Divisors",1445126400,460,0
531,"Chinese Leftovers",1445745600,1168,0
532,"Nanobots on Geodesics",1446361200,313,0
533,"Minimum Values of the Carmichael Function",1446976800,337,0
534,"Weak Queens",1447506000,312,0
535,"Fractal Sequence",1448121600,294,0
536,"Modulo Power Identity ",1448737200,292,0
537,"Counting Tuples",1449352800,636,0
538,"Maximum Quadrilaterals",1449968400,330,0
539,"Odd Elimination",1450584000,830,0
540,"Counting Primitive Pythagorean Triples",1451199600,664,0
541,"Divisibility of Harmonic Number Denominators",1451815200,217,0
542,"Geometric Progression with Maximum Sum",1452344400,229,0
543,"Prime-Sum Numbers",1452960000,703,0
544,"Chromatic Conundrum",1453575600,257,0
545,"Faulhaber's Formulas",1454191200,540,0
546,"The Floor's Revenge",1454806800,235,0
547,"Distance of Random Points Within Hollow Square Laminae",1455422400,224,0
548,"Gozinta Chains",1456038000,620,0
549,"Divisibility of Factorials",1456653600,2791,0
550,"Divisor Game",1457182800,355,0
551,"Sum of Digits Sequence",1457798400,475,0
552,"Chinese Leftovers II",1458414000,443,0
553,"Power Sets of Power Sets",1459029600,212,0
554,"Centaurs on a Chess Board",1459641600,244,0
555,"McCarthy 91 Function",1460257200,707,0
556,"Squarefree Gaussian Integers",1460872800,250,0
557,"Cutting Triangles",1461488400,292,0
558,"Irrational Base",1462017600,251,0
559,"Permuted Matrices",1462633200,192,0
560,"Coprime Nim",1463248800,321,0
561,"Divisor Pairs",1463864400,783,0
562,"Maximal Perimeter",1464480000,192,0
563,"Robot Welders",1465095600,334,0
564,"Maximal Polygons",1465711200,239,0
565,"Divisibility of Sum of Divisors",1466326800,630,0
566,"Cake Icing Puzzle",1466856000,172,0
567,"Reciprocal Games I",1472914800,298,0
568,"Reciprocal Games II",1472914800,291,0
569,"Prime Mountain Range",1473530400,402,0
570,"Snowflakes",1474146000,278,0
571,"Super Pandigital Numbers",1474761600,1124,0
572,"Idempotent Matrices",1475377200,340,0
573,"Unfair Race",1475992800,208,0
574,"Verifying Primes",1476608400,269,0
575,"Wandering Robots",1477137600,600,0
576,"Irrational Jumps",1477753200,237,0
577,"Counting Hexagons",1478977200,1599,0
578,"Integers with Decreasing Prime Powers",1479592800,231,0
579,"Lattice Points in Lattice Cubes",1480208400,163,0
580,"Squarefree Hilbert Numbers",1480824000,255,0
581,"$47$-smooth Triangular Numbers",1481439600,874,0
582,"Nearly Isosceles $120$ Degree Triangles",1482055200,329,0
583,"Heron Envelopes",1482584400,373,0
584,"Birthday Problem Revisited",1483200000,210,0
585,"Nested Square Roots",1483815600,174,0
586,"Binary Quadratic Form",1484431200,237,0
587,"Concave Triangle",1485046800,3179,0
588,"Quintinomial Coefficients",1485662400,449,0
589,"Poohsticks Marathon",1486278000,200,0
590,"Sets with a Given Least Common Multiple",1486893600,260,0
591,"Best Approximations by Quadratic Integers",1487422800,197,0
592,"Factorial Trailing Digits 2",1488038400,287,0
593,"Fleeting Medians",1488654000,545,0
594,"Rhombus Tilings",1489269600,185,0
595,"Incremental Random Sort",1489885200,631,0
596,"Number of Lattice Points in a Hyperball",1490497200,362,0
597,"Torpids",1491112800,173,0
598,"Split Divisibilities",1491728400,487,0
